N;Artista;Album;Genero;Duracao;Rating;Chave I;Chave II
1;Rise to Fall;Defying the Gods;Melodic Death Metal;41,58;7;1;1,1
2;Disarmonia Mundi;The Isolation Game;Melodic Death Metal;53,54;8;1;1,1
3;Alborosie;Escape From Babylon;Reggae;65,00;6,5;13;
4;It Dies Today;Sirens;Metalcore;39,41;6,75;1,4;1,4
5;Before the Dawn;Rise of the Phoenix;Melodic Death Metal;51,55;7;1;1,1
6;Shokran;Supreme Truth;Progressive Metal/ Djent;42,07;9;1;1,5
7;Adema;Selftitled;Nu Metal;40,00;8,5;1;1,2
8;HorrorPops;Hell Yeah!;Psychobilly;40,15;7;13;
9;Archive;Controlling Crowds;Trip-Hop;78,11;8,75;6;
10;The Dead Weather;Horehound;Progressive Rock;44,01;8,5;5;5,1
11;Stepa;Selftitled;Nu Metal;38,43;7;1;1,2
12;We Are The Empty;Selftitled;Post Hardcore;49,37;7,75;4;4,1
13;Shaw Lee's Ping Pong Orchestra;World of Funk;Progressive Funk;52,10;9,5;9;
14;Francois Couperin;Le Grand Pieces de Violes;Barroco;60,00;8;13;
15;Be'lakor;Stone's Reach;Melodic Death Metal;59,31;8;1;1,1
16;Beyond Our Eyes;Under Control;Metalcore;23,57;6;1,4;1,4
17;Dawn of Solace;The Darkness;Doom Metal;30,00;7,5;1;1,7
18;Aranda;Stop the World;Hard Rock;34,58;8,5;5;
19;Tonight Alive;What Are You Scared of?;Post Hardcore;94,00;6,75;4;4,1
20;Switched;Subject to Change;Nu Metal;45,56;7,75;1;1,2
21;Level;Selftitled;Nu Metal;45,20;7;1;1,2
22;Hoobstank;Fight or Flight;Post Grunge;40,00;5;13;
23;Billy Talent;Greatest Hits;Hardrock;46,32;8;5;
24;Never See Tomorrow;To the Depts;Metalcore;29,43;6;1,4;1,4
25;Bleed From Within;Uprising;Post Metalcore;50,17;7;1,4;1,4
26;Fit For a King;Decendants;Metalcore;37,02;6,5;1,4;1,4
27;Make Them Suffer;Old Souls;Melodic Deathcore;40,00;8,25;4;4,2
28;Breakdown of Sanity;Perception;Post Metalcore;52,52;7;1,4;1,4
29;Confide;All is Calm;Post Metalcore;40,20;7,5;1,4;1,4
30;Shade Empire;Omega Arcane;Melodic Death Metal/ Symphonic;30,00;7,75;1;1,1
31;40 Bellow Summer;Invitation to the Dance;Nu Metal;46,47;7;1;1,2
32;Nujabes;Spiritual State;Nu Jazz;60,00;10;3;2,3
33;Grim Fandango;OST;Soundtrack;43,35;9;12;
34;For The Fallen Dreams;Heavy Hearts;post Metalcore;40,00;6,75;1,4;1,4
35;Ultraspank;Progress;Nu Metal;45,19;7,75;1;1,2
36;Pulse Ultra;Headspace;Nu Metal;56,53;7,5;1;1,2
37;Mad At Gravity;Resonance;Nu Metal;51,17;7,75;1;1,2
38;Edgewater;We're Not Robots;Nu Metal;36,07;8;1;1,2
39;Destiny Potato;LUN;Progressive Metal/ Djent;51,27;8,5;1;1,5
40;Intervals;A Voice Within;Progressive Metal/ Djent;49,33;8,25;1;1,5
41;Periphery;Selftitled;Djent;50,00;8,25;13;1,5
42;Katatonia;The Great  Cold Distance;Progressive/ Post Rock;60,00;8,5;5;5,1
43;Still Remains;Ceasing To Breathe;Metalcore;54,01;8,5;1,4;1,4
44;Dance With The Dead;The Shape;New Synthwave;43,47;7;11;
45;Arch Enemy;War Eternal;Melodic Death Metal;47,32;7;1;1,1
46;Testament;The Gathering;Trash Metal;42,56;9;1;1,9
47;Hypocrisy;Abducted;Death Metal/ Aliencore;46,54;9;1,4;1,9
48;Morbid Angel;Illud Divinum Insanus;Death Metal/ Industrial;56,45;7;1;1,9
49;Amon Amarth;Twilight of the Thunder God;Melodic Death Metal;43,36;6,75;1;1,1
50;Children Of Bodom;Hate Crew Deathroll;Melodic Death Metal;40,14;7;1;1,1
51;AJJ;Can't Maintain;Punk Folk;28,22;10;8;
52;Streetlight Manifesto;Somewhere In The Between;Skapunk;44,35;9;13;
53;Fit For An Autopsy;Absolute Hope Absolute Hell;Deathcore;40,14;10;4;4,2
54;Thy Light;Suici.De.Pression;Progressive Black Metal;45,37;7,5;1;1,8
55;RA The Rugged Man;Legends Never Die;Hip-Hop/ Rap;57,15;7;2;2,1
56;Cynic;Traced In Air;Progressive;34,11;9,9;13;
57;Protest The Hero;Volition;Speed Metal;54,13;6,5;1;1,9
58;Vanilla;For Whats It's Worth;Nu Jazz/ Hip-Hop;40,35;8,75;2,3;2,3
59;Polyphia;Reinassance;Math Metal/ Progressive Metal;44,31;9,9;1;1,9
60;Skipless;Jazzamentals;Nu Jazz/ Hip-Hop;23,05;8,75;2,3;2,3
61;Villain Accelerate;Maid of Gold;Trip-Hop;53,24;10;6;6,2
62;The Glitch Mob;Love Death Immortality;Glitch;51,07;8;13;
63;Earthside ;A Dream In Static;Progressive Metal;64,34;9;1;1,3
64;Black Tide;Light from Above;Speed Metal;55,03;8,25;1;1,9
65;Fair To Midland Guilleves;Arrows And Anchors;Progressive Metal;54,49;9;1;1,3
66;Novelists;Souvenirs;Post Metalcore;49,24;8;1,4;1,4
67;Atmospheres;The Departure;Progressive/ Post Rock;44,50;8,5;5;5,1
68;Auras;Crestfallen;Deathcore;19,01;8,5;4;4,2
69;Hail The Sun;Wake;Post Hardcore;51,49;9;4;4,1
70;Marcus D;Melancholy Hopeful;Nu Jazz/ Hip-Hop;71,29;9,5;2,3;2,3
71;Manu Chao;Clandestino;Ska;45,46;10;13;
72;Oh Hiroshima;In Silence We Yearn;Post Rock;38,48;7,5;5;5,2
73;Coubo;Selcouth;Lo-Fi;21,41;7,75;2;2,2
74;Jinsang;Solitude;Lo-Fi;51,17;8;2;2,2
75;Shlohmo;Bad Vibes;Lo-Fi;56,45;7;2;2,2
76;Takuya Kuroda;Rising Son;Jazz;55,25;10;3;3
77;Low Roar;Selftitled;Post Rock;53,37;9;5;5,2
78;Ryo Fukui;Scenery;Jazz;41,21;10;3;3
79;Tomppabeats;Harbor;Lo-Fi;35,07;6,75;2;2,2
80;The Alchemist;Israeli Salad;Trip-Hop;37,49;10;6;6,2
81;Pertubator;The Uncanny Valley;Synthwave;68,05;7;11;
82;Royal Blood;Selftitled;Indie Rock;32,41;10;5;
83;Shokran;Exodus;Progressive Metal/ Djent;35,20;8,75;1;1,5
84;Crywank;Tomorrow Is Nearly Yesterday And Every Day Is Stupid;Indie;41,41;8,75;13;
85;Khruangbin;Mordechai;Funk;43,58;7,5;9;
86;Limes;Freshly Squeezed;Lo-Fi;30,23;9,5;2;2,2
87;Voyager;V;Progressive Metal;54,49;7,5;1;1,3
88;Mgla;Exercises In Futility;Black Metal;42,17;8,25;1;1,8
89;Kognitif;Soul Food;Eletroswing/ Nu Jazz/ Hip Hop;56,37;10;2,3;2,3
90;Caravan Palace;Mix;Eletroswing;53,02;8,25;13;
91;Blockhead;The Music Scene;Trip-Hop;63,08;6,75;6;6,2
92;Bob42jh;Dark Days, Cold Nights;Nu Jazz/ Hip-Hop;30,45;6,75;2,3;2,3
93;Estas Tonne;Internal Flight;Progressive;64,39;9,5;13;
94;Behemoth;The Satanist;Black Metal;44,25;9,5;1;1,8
95;Enslaved;Axioma Ethica Odini;Melodic Black Metal;58,30;8,5;1;1,8
96;Marilyn Manson;The Pale Emperor;Alternative Rock;67,03;9;5;
97;Black Light Burns;Cruel Melody;Alternative Rock;61,11;7,75;5;
98;The Enigma TNG;Cybergoth Mix;Synthwave;43,16;8,5;11;
99;CloZee;Imagine Warrior;Glitch/ Trap;57,31;8;13;
100;Korn;The Serenity of Suffering;Nu Metal;48,58;8,25;1;1,2
101;Hiroshi Yoshimura;Wet Land;Ambiente;38,03;7;13;
102;Osamu Kitajima;Masterless Samurai;Funk/ Folk;38,00;8;8,9;
103;Gasoline;Snap Your Neck Back;Hip-Hop/ Rap;64,25;10;2;2,1
104;Scandroid;Selftitled;Synthwave;71,59;7;11;
105;The Sound Defects;Volume 2;Nu Jazz/ Hip-Hop/ Funk;40,30;9,25;2,39;2,3
106;Mouse On The Keys;The Flowers Of Romance;Jazz;37,28;9;3;3
107;Yoko Kanno & Seatbelts;Cowboy Bebop;Blues/ Jazz/ OST;50,00;10;10,3;3
108;Nymano;Romance;Lo-Fi;32,31;7,5;2;2,2
109;Steve Wilson;To The Bones;Progressive Rock;60,00;8,5;5;5,1
110;Gabor Szabo;Dreams;Jazz;35,22;10;3;3
111;Tha Trickaz;Cloud Adventure;Trip Hop/ Dubstep/ Rap;48,31;7,25;6;2,1
112;A Pale Horse Named Death;And Hell Will Follow Me;Doom Metal;54,02;9,5;1;1,7
113;Jazz Liberatorz;Clin D'oeil;Nu Jazz/ Hip-Hop/ Rap;79,51;9,5;2,3;2,1
114;Batushka;Litourgiya;Black Metal;41,18;8,5;1;1,8
115;We Butter The Bread With Butter;Goldkinder;Eletronicore;50,54;7,75;4;4,3
116;Lilium;Transmissions Of All The Goodbyes;Blues/ Folk?;39,20;9;10,8;
117;Soley;We Sink;Indie;47,14;9,9;13;
118;Spellcaster;Night Hides The World;Heavy Metal;43,06;7;1;1,9
119;Morphine;Good;Blues;38,18;10;10;
120;Moby;Play (The B Sides);Downtempo/ Eletrìnica;60,00;8,75;13;
121;Matt Elliott;Drinking Songs;Dark Folk;66,31;10;8;
122;Holy Grail;Times Of Pride And Peril;Speed Metal;46,56;7,5;1;1,9
123;Madrugada;Industrial Silence;Blues/ Rock;64,11;7,75;10,5;
124;The Kilimanjaro Dark Jazz Essemble;Here Be Dragons;Trip-Hop/ Jazz;55,21;10;3,6;6,1
125;Seventh Void;Heaven Is Gone;Doom/ Stoner Metal;42,26;7,5;1;1,7
126;The Third Eye Foundation;The Darkness;Trip-Hop;43,04;10;6;6,1
127;Three Leg Dog;Red Sun;Stoner Metal;45,56;8,25;1;1,6
128;The Dreadnoughts;Polka's Not Dead;Polk Folk Punk;32,56;9;8;
129;Viza;Made In Chernobyl;Folk Rock;39,34;7;5,8;
130;Cunninlynguists;A Piece Of Strange;Hip-Hop/ Rap;54,13;8,75;2;2,1
131;Onra;Chinoiseries;Boom Bap/ Hip Hop;62,34;8,75;2;
132;Harakiri For The Sky;III:Trauma;Post Black Metal;75,13;9;1;1,8
133;Kurt Travis;Everything Is Beautiful;Indie;41,33;7;13;
134;Laura Misch;Playground;Nu Jazz;19,56;8;3;2,3
135;Mastodon;Emperor Of Sand;Progressive Metal;51,13;9;1;1,3
136;Stoner Train;Hobo From Outer Space;Stoner Metal;31,21;8;1;1,6
137;Uyama Hiroto;Freeform Jazz;Nu Jazz;51,22;8,25;3;2,3
138;Paradise Lost;The Plague Within;Gothic/ Doom Metal;59,31;8,75;1;1,9
139;Trees Of Eternity;Hour Of The Nightingale;Gothic/ Doom Metal;62,42;8,25;1;1,9
140;The Devil And The Almighty Blues;II;Stoner Metal;47,51;7,25;1;1,6
141;Djelmash;Crossroads;Progressive Metal;20,33;8,5;1;1,3
142;Red Fang;Only Ghosts;Stoner Metal;41,22;9;1;1,6
143;The Sword;Low Country;Stoner Rock;31,26;9;5;5,3
144;Cathedral Ring;A Decade Alone On The Alps;Post Rock;58,13;7;5;5,2
145;SiamÇs;Bounce Into The Music;Indie/ Pop;35,51;9;13;
146;Atlantis Chronicles;Barton's Odyssey;Melodic/ Progressive Death Metal;41,32;8,75;1;1,1
147;The Ugly Kings;Of Sins;Blues/ Rock;32,00;8,75;10,5;
148;Ex People;Bird;Stoner Rock;42,43;8,75;5;5,3
149;David L. Harris;Blues I Felt;Jazz;64,02;9;3;3
150;Moondog;The German Years;"""Neocl†ssico""";65,14;10;13;
151;The Black Heart Procession;One;Indie;48,07;8;13;
152;Papa Roach;Crooked Teeth;Nu Metal;48,00;5;1;1,2
153;Silent Alarm;Bloc Party;Alternative Rock;54,05;8;5;
154;Shades Of Black;Ocean;Progressive/ Deathcore;54,24;8,75;4;4,2
155;The Algorithm;Brute Force;Eletronicore;46,06;8,5;4;4,3
156;Parov Stellar;Collection;Eletroswing;38,43;8;13;
157;Aurora;All My Demons Greeting Me As A Friend;Pop;65,10;8,75;13;
158;Alter Bridge;Blackbird;Post Grunge;59,13;8,75;13;
159;Russian Circles;Station;Post Rock;43,28;6,75;5;5,2
160;16 Horsepower;Low Estate;Dark Country;49,39;9,5;13;
161;Before I Turn;The Virus;Deathcore;36,57;8,5;4;4,2
162;Dead Can Dance;Anastasis;Neocl†ssico;56,24;8,75;13;
163;Church Of The Cosmic Skull;Is Satan Real?;Stoner/ Progressive Rock;34,42;8,75;5;5,1
164;Portishead;Selftitled;Trip Hop;50,31;10;6;6,1
165;The Last Sighs Of The Wind;We Are Trees;Post Rock;50,12;8,5;5;5,2
166;Degiheugi;Endless Smile;Nu Jazz/ Hip Hop;58,06;9,9;2,3;2,3
167;Damu The Fudgemunk;Sparetime;Nu Jazz;70,53;8;3;2,3
168;Big Bad Voodoo Daddy;Americana Deluxe;Swing/ Blues;50,01;9;10;
169;Yeseo;Million Things;K-pop;28,38;8,25;13;
170;Mark Farina;Mushroom Jazz;Nu Jazz;70,39;6,5;3;2,3
171;Dj Okawari;Compass;Nu Jazz;44,22;8,75;3;2,3
172;Osi And The Jupiter;Uthuling Hyl;Neofolk;51,41;7;8;
173;Prophets Of Rage;Selftitled;Hardcore;60,29;10;4;4,1
174;Elijah Who;Gentle Boy;Lo-Fi;20,27;8,25;2;2,2
175;Fear Of Domination;Atlas;Industrial Metal;41,23;8,5;1;1,9
176;Morcheeba;Big Calm;Trip Hop;46,53;9;6;6,2
177;Thievery Corporation;The Richest Man In Babylon;Trip Hop;53,17;9;6;6,2
178;Ulver;The Assassination Of Julius Caesar;Rock/ Eletrìnica?;43,45;8,5;5;
179;Once Human;Evolution;Death Metal;60,00;7;1;1,9
180;Winds Of Plague;Blood Of My Enemy;Deathcore;39,18;8,75;4;4,2
181;Crown The Empire;Retrograde;Metalcore;48,08;6;1,4;1,4
182;Slaine & Termanology;Anti-Hero;Hip Hop/ Rap;49,42;8,25;2;2,1
183;While She Sleeps;You Are We;Post Metalcore;51,07;6;1,4;1,4
184;Famous Last Words;The Incubus;Metalcore;42,58;8;1,4;1,4
185;Apathy;Handshakes With Snakes;Hip-Hop/ Rap;42,27;8,25;2;2,1
186;Palisades;Selftitled;Post Hardcore;39,18;8;4;4,1
187;The White Noise;AM PM;Metalcore;34,24;7,75;1,4;1,4
188;Jedi Mind Tricks;Violence Begets Violence;Hip Hop/ Rap;47,03;7,5;2;2,1
189;La Coka Nostra;To Thine Own Self Be True;Hip-Hop/ Rap;44,28;7,25;2;2,1
190;Primer 55;Introduction To Mayhem;Nu Metal;48,45;7,75;1;1,2
191;Lionheart;Love Don't Live Here;Hardcore;27,31;7,5;4;4,1
192;The Browning;Isolation;Eletronicore;43,16;8,5;4;4,3
193;Portishead;Dummy;Trip Hop;49,17;10;6;6,1
194;Ne Obliviscaris;Urn;Progressive Death Metal;46,01;8,75;1;1,9
195;Twelve Foot Ninja;Outlier;Funk Metal;38,22;8,5;1,9;1,9
196;Max Richter;Vivaldi;Neocl†ssico;43,59;9;13;
197;Trivium;The Sin And The Sentence;Heavy Metal;57,23;8,75;1;1,9
198;Heavy Metal Kings;Black God White Devil;Hip Hop/ Rap;44,27;8;2;2,1
199;Mastodon;Cold Dark Place;Sludge/ Progressive Metal;21,52;9;1;1,3
200;Trapt;No Apologies;Alternative Rock;44,57;6,5;5;
201;First Blood;Rules;Hardcore;36,51;8,75;4;4,1
202;Hooverphonic;No More Sweet Music;Trip Hop;41,04;8,25;6;6,1
203;Flamingosis;A Groove Thing;Nu Jazz/ Funk;55,24;8,5;3,9;2,3
204;All Shall Perish;The Price Of Existence;Deathcore;43,07;7,5;4;4,2
205;Gesaffelstein;Variations;Industrial / Minimalista;36,26;10;13;
206;Agnes Obel;Philharmonics;Folk/ Pop;60,00;8,5;8;
207;DSME;Comes To An End;Progressive Metal/ Djent;40,00;9,5;1;1,5
208;Knocked Loose;Laugh Tracks;Hardcore;29,04;7,75;4;4,1
209;Tom Waits;The Heart Of Saturday Night;Blues;41,36;10;10;
210;Cypecore;Identity;Industrial Metal;51,03;8,75;1;1,9
211;Recode The Subliminal;The Cost Of Every Man;Post Metalcore;57,01;9;1,4;1,4
212;Fit For Rivals;Steady Damage;Post Hardcore;31,08;9;4;4,1
213;Maiak;A Very Pleasant Way To Die;Post Rock;40,41;7;5;5,2
214;George Thorogood;Move It On Over;Blues/ Rock;40,59;8;10,5;
215;Chinese Man;Shikantaza;Trip Hop/ Hip Hop;64,07;9;2,6;6,2
216;God Body Disconnect;Sleeper's Fate;Experimental;51,12;9;13;
217;Gost;Non Paradisi;Synthwave;47,26;6;11;
218;Hugh Laurie;Didn't It Rain;Blues;61,51;10;10;
219;Rivers Of Nihil;Where Owls Know My Name;Progressive Death Metal;56,43;10;1;1,9
220;Blond Redhead;Melody Of Certain Damaged Lemons;Trip Hop;39,25;8,75;6;6,1
221;Mercenary;Through Our Darkest Days;Melodic Death Metal;48,14;8,25;1;1,1
222;Drowning Pool;Sinner;Nu Metal;34,06;7;1;1,2
223;There's A Light;A Long Lost Silence;Post Rock;51,02;7;5;5,2
224;Dub Garden;Doctor Wind;Trip Hop/ Reggae;36,03;8,75;6;6,2
225;Abstract Orchestra;Madvillain;Nu Jazz;39,28;9;3;2,3
226;L'indÇcis;Playtime;Nu Jazz/ Hip Hop;20,34;8,5;2,3;2,3
227;Distant Dream;It Starts From Pieces;Post Rock;40,05;7,5;5;5,2
228;Polyphia;New Levels New Devils;Progressive Metal/ Math Metal;36,58;10;1;
229;Heart Attack;The Resilience;Trash Metal/ Hardcore;45,06;8,5;1,4;1,9
230;Deficiency;The Dawn Of Consciousness;Trash Metal;58,59;8;1;1,9
231;The Dreadnoughts;Foreign Skies;Polk Folk Punk;43,10;7,75;8;
232;Perihelion;OrvÇny;Progressive Metal;38,12;9;1;1,3
233;Dronte;Quelque Part Entre La Guerre El La LÉchetÇ;Avant-garde Metal;46,31;9;1;1,9
234;High On Fire;Eletric Messiah;Trash Metal;57,02;7,75;1;1,9
235;Ben Johnston;String Quartet 7;Neocl†ssico;23,53;9,9;13;
236;Bula;N∆o Estamos Sozinhos;Post Hardcore;41,25;8;4;4,1
237;Hyakkei;Okurimono;Math Rock;49,42;8,75;5;5,4
238;Y'Akoto;Babyblues;R&B?;44,44;8;13;
239;Elijah Nang;Gaijin;Lo-Fi;79,04;8,5;2;2,2
240;Snoop Lion;Reincarnated;Trap/ Reggae;57,31;8;13;
241;Baiana System;Duas Cidades;Reggae Progressivo;40,22;8,5;13;
242;Kyojaku;Kokou No Gadan;Math Rock;40,08;8,75;5;5,4
243;Tristeza;Spine And Sensory;Post Rock;59,46;8,75;5;5,2
244;A Pale Horse Named Death;When The World Becomes Undone;Gothic/ Doom Metal;62,04;8,5;1;1,7
245;Pablo Casals;JS Bach The Six Cellos Suites;Barroco;130,12;9;13;
246;My Sleeping Karma;Soma;Stoner post rock;79,19;8,5;5;5,2
247;Uncle Acid & the Deadbeats;Blood Lust;Stoner Rock;45,02;8,5;5;5,3
248;Dub Garden;Orders;Trip-Hop/ Reggae;34,48;8,5;6;6,2
249;Woven Hand;Blush Music;Progressive Country;67,10;9,5;13;
250;Belzebong;Greenferno;Stoner Metal;35,14;8,5;1;1,6
251;Covet;Effloresce;Math Rock;31,04;8,5;5;5,4
252;Stoned Jesus;Seven Thunder Roar;Stoner Rock;48,05;8;5;5,3
253;Somali Yatch Club;The Sea;Stoner Rock;53,12;7,25;5;5,3
254;Eletric Wizard;Witchcult Today;Stoner/ Doom Metal;58,56;9;1;1,7
255;The Cancel;Selftitled;Nu Jazz/ Hip-Hop;54,31;8,75;2,3;2,3
256;Mephistofeles;Whore;Stoner Rock;34,05;8,5;5;5,3
257;Sixtoo;Antagonist Survival Kit;Trip Hop/ Rap;46,26;8,5;6;2,1
258;Vision Of Desorder;S/T;Hardcore;39,17;8;4;4,1
